BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
1.6,4.0,103.0,12.9,0.008,5.2,2.358,0.009,12.0,52.889554936846594
8.6,12.7,568.0,8.5,1.146,8.0,14.772,1.166,15.0,52.889554936846594
5.7,7.2,343.0,12.7,0.146,16.6,4.558,0.184,13.5,72.02218118117278
5.4,11.3,691.0,7.7,0.449,8.7,15.22,0.574,18.0,55.21916876393183
1.9,4.4,153.0,8.6,0.073,13.4,4.562,0.084,16.0,51.12118644506504
3.2,4.4,449.0,9.3,0.053,4.6,9.6,0.053,19.0,14.811414079021477
2.1,4.3,190.0,10.2,0.083,20.6,3.615,0.094,18.5,55.837325978331705
1.0,2.3,142.0,10.6,0.0,2.2,3.12,0.0,15.0,27.10101879996104
3.1,6.8,273.0,8.9,0.226,8.0,5.928,0.326,17.0,33.9007926412541
3.1,6.7,196.0,4.3,0.163,11.2,4.128,0.216,16.0,44.678179193088255
2.3,4.8,223.0,9.5,0.067,16.4,4.848,0.082,13.0,29.566413341396725
1.0,3.4,144.0,17.7,0.057,8.6,3.496,0.067,16.0,53.08976596754874
3.6,5.3,173.0,9.0,0.129,14.2,4.618,0.164,16.0,51.82219888172988
3.0,5.2,180.0,10.7,0.085,34.2,3.842,0.123,15.8,50.23451880206132
2.2,4.0,177.0,8.3,0.0,13.2,2.856,0.038,17.0,36.8965866233512
1.5,4.3,123.0,14.5,0.025,11.0,3.909,0.065,15.0,54.47374701647841
5.6,12.4,234.0,9.3,0.237,129.5,6.307,0.275,18.0,54.89484170515252
1.1,2.9,161.0,10.1,0.0,3.8,3.016,0.0,18.0,30.6
1.9,4.4,149.0,10.6,0.037,22.0,3.264,0.076,14.8,44.90901337268226
5.0,8.5,263.0,7.4,0.339,6.0,8.51,0.387,22.0,40.34379989323088
1.8,4.3,136.0,9.8,0.055,16.8,3.757,0.061,16.0,52.58136205179716
1.3,3.4,160.0,9.9,0.034,1.0,4.548,0.034,15.0,28.4109617616076
6.2,7.8,422.0,8.6,0.509,15.0,7.776,0.605,17.0,52.15477310366832
5.7,11.3,393.0,7.3,1.404,11.0,12.888,1.5,19.0,23.800226158706938
4.7,10.2,536.0,7.1,0.386,14.7,11.713,0.484,20.8,33.9007926412541
0.9,2.6,152.0,10.2,0.064,4.8,3.204,0.069,18.0,51.36046660021304
